,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,5050,5100,5150,5200,5250,5300,5350,5400,5450,5500,5550,5600,5650,5700,5750,5800,5850,5900,5950,6000,6050,6100,6150,6200,6250,6300,6350,6400,6450,6500,6550,6600,6650,6700,6750,6800,6850,6900,6950,7000,7050,7100,7150,7200,7250,7300,7350,7400,7450,7500,7550,7600,7650,7700,7750,7800,7850,7900,7950,8000,8050,8100,8150,8200,8250,8300,8350,8400,8450,8500,8550,8600,8650,8700,8750,8800,8850,8900,8950,9000,9050,9100,9150,9200,9250,9300,9350,9400,9450,9500,9550,9600,9650,9700,9750,9800,9850,9900,9950,10000,
Binary Search Tree,579.159973,1183.339966,1743.319946,2241.679932,2709.179932,3480.000000,3716.659912,4348.319824,4825.839844,5599.160156,5915.839844,6400.839844,7153.339844,7785.839844,8202.500000,8439.160156,9337.500000,10051.660156,10243.339844,11047.500000,10526.660156,9853.339844,10542.500000,10722.500000,15705.820312,16289.160156,12356.660156,12036.660156,12415.820312,14817.500000,16234.160156,15610.000000,15853.339844,15528.320312,17493.339844,17584.160156,20062.500000,18646.660156,22095.000000,19794.179688,18326.660156,22404.179688,21560.839844,23002.500000,21911.660156,22980.000000,22692.500000,22440.000000,23623.339844,23708.339844,21273.339844,19497.500000,24567.500000,23373.339844,24393.339844,23141.660156,22464.160156,23510.820312,24245.839844,26834.179688,24938.339844,25535.820312,23947.500000,25766.660156,24685.839844,27029.160156,28412.500000,26332.500000,30210.839844,27335.000000,27265.000000,28332.500000,27800.820312,27781.660156,28338.339844,28949.179688,31414.179688,30320.839844,30614.179688,27780.839844,31006.660156,29774.160156,30858.339844,31465.839844,34429.160156,28456.660156,30927.500000,32440.839844,31324.160156,37699.160156,30569.160156,29378.339844,35859.160156,33025.839844,33800.000000,34168.339844,33247.500000,31422.500000,32334.160156,37525.000000,37571.679688,34630.000000,37560.000000,38785.000000,39256.660156,34684.160156,39246.660156,35440.000000,36519.179688,39955.839844,40285.000000,43803.339844,43094.179688,38075.000000,37616.679688,38330.000000,35564.179688,44044.179688,41072.500000,38910.000000,40949.179688,40721.679688,40141.660156,35806.679688,35816.660156,40981.679688,39041.679688,43725.839844,46454.160156,38871.679688,42062.500000,43210.820312,40724.179688,38753.339844,38687.500000,35385.839844,39774.179688,45190.000000,41025.839844,43870.000000,46893.320312,42670.000000,43537.500000,41874.160156,43335.000000,48855.820312,45350.000000,44765.000000,51425.000000,46687.500000,47429.160156,50569.160156,47308.320312,43681.660156,44547.500000,45262.500000,39748.320312,47080.000000,50695.000000,46984.160156,49849.160156,44639.179688,51212.500000,53526.660156,40990.000000,41211.660156,51276.660156,48851.660156,48345.000000,49619.160156,50681.679688,46831.660156,46555.000000,50279.179688,50204.160156,47055.000000,46100.839844,43449.160156,36022.500000,52296.660156,46189.160156,47998.320312,45320.000000,38170.000000,49061.660156,49354.160156,53025.839844,51436.660156,51320.839844,45685.000000,51781.679688,48341.660156,44965.839844,50399.179688,53823.339844,47503.339844,53523.339844,40315.000000,49364.160156,44776.679688,
AVL Tree,155.820007,166.660004,210.820007,201.660004,192.500000,251.660004,230.000000,219.179993,221.660004,220.820007,243.320007,253.339996,251.660004,251.660004,250.000000,255.000000,245.839996,250.820007,232.500000,240.820007,265.000000,280.000000,264.179993,285.000000,277.500000,273.339996,277.500000,275.839996,270.839996,274.160004,276.679993,283.320007,268.339996,269.160004,265.839996,288.339996,280.000000,268.320007,270.820007,277.500000,283.339996,302.500000,291.660004,304.160004,309.179993,287.500000,298.339996,309.179993,302.500000,316.679993,310.839996,307.500000,309.179993,310.000000,291.660004,313.320007,312.500000,310.000000,314.179993,310.000000,312.500000,311.679993,305.839996,305.839996,310.839996,307.500000,315.820007,296.660004,308.320007,300.839996,309.179993,325.000000,324.160004,314.160004,321.679993,310.000000,317.500000,308.339996,313.339996,314.160004,317.500000,333.339996,329.160004,341.679993,344.160004,331.660004,325.000000,362.500000,385.000000,349.160004,343.339996,334.179993,350.000000,338.339996,335.000000,348.339996,347.500000,336.679993,353.339996,354.160004,349.160004,345.000000,352.500000,350.820007,336.679993,348.339996,350.839996,355.839996,350.000000,344.160004,349.160004,363.320007,365.000000,360.839996,350.839996,357.500000,350.820007,359.160004,351.660004,350.000000,362.500000,356.679993,357.500000,350.000000,367.500000,356.660004,355.820007,355.820007,352.500000,365.000000,358.320007,359.179993,361.660004,370.000000,358.339996,352.500000,369.179993,357.500000,367.500000,361.679993,366.660004,362.500000,359.179993,371.660004,365.000000,369.160004,378.339996,379.160004,379.179993,383.339996,373.320007,376.660004,373.339996,383.339996,379.160004,370.000000,380.839996,377.500000,377.500000,377.500000,370.839996,671.659973,380.000000,397.500000,400.000000,398.320007,395.839996,418.320007,392.500000,402.500000,403.320007,398.339996,405.000000,405.839996,400.000000,400.000000,402.500000,396.660004,405.000000,403.339996,408.339996,393.339996,401.660004,385.839996,403.339996,407.500000,394.160004,404.160004,406.679993,410.839996,404.160004,464.160004,399.160004,408.339996,595.840027,403.339996,396.660004,400.000000,402.500000,399.160004,
Red Black Tree,80.839996,92.500000,98.339996,114.160004,115.000000,119.180000,113.320000,120.820000,120.000000,123.339996,129.179993,127.500000,127.500000,132.500000,126.680000,133.339996,136.660004,142.500000,137.500000,135.839996,146.660004,148.339996,140.820007,146.660004,148.339996,150.000000,137.500000,145.839996,148.320007,144.160004,150.000000,149.179993,155.000000,150.000000,148.320007,155.820007,146.679993,159.160004,155.000000,152.500000,163.339996,165.820007,157.500000,164.160004,160.000000,160.000000,165.820007,163.320007,166.679993,160.000000,170.839996,171.679993,167.500000,170.839996,165.000000,165.839996,171.660004,165.839996,177.500000,168.320007,166.679993,180.000000,183.339996,180.839996,172.500000,166.660004,175.839996,178.339996,182.500000,185.000000,177.500000,173.320007,178.339996,182.500000,175.820007,173.320007,175.000000,180.000000,187.500000,188.320007,215.000000,203.339996,168.339996,174.160004,179.160004,187.500000,181.660004,189.179993,177.500000,177.500000,190.000000,187.500000,190.000000,212.500000,191.660004,188.320007,191.679993,194.179993,190.000000,193.320007,196.660004,207.500000,190.839996,187.500000,193.320007,188.339996,196.679993,190.839996,195.839996,187.500000,195.839996,193.339996,206.660004,191.679993,412.500000,197.500000,195.000000,188.339996,190.000000,191.660004,194.160004,192.500000,196.660004,190.820007,199.179993,191.679993,195.000000,201.660004,204.179993,234.179993,203.339996,201.660004,198.339996,198.339996,195.000000,190.000000,220.839996,190.000000,194.160004,191.679993,199.179993,200.000000,200.000000,210.839996,200.000000,193.339996,210.000000,221.660004,185.839996,202.500000,205.000000,195.839996,199.179993,206.660004,200.820007,201.660004,205.000000,198.339996,200.000000,205.839996,195.000000,204.179993,207.500000,204.160004,220.839996,205.839996,207.500000,209.160004,219.179993,211.660004,219.160004,212.500000,209.160004,205.000000,212.500000,210.000000,206.679993,208.339996,217.500000,213.339996,210.000000,195.000000,205.839996,210.000000,215.839996,213.320007,214.179993,203.339996,221.660004,215.000000,210.839996,209.160004,201.660004,216.679993,228.339996,208.339996,216.660004,206.660004,206.679993,210.000000,
Splay Tree,13.340000,11.680000,11.660000,33.340000,66.680000,76.680000,77.500000,11.660000,65.000000,11.660000,188.339996,150.000000,145.839996,285.839996,173.320007,230.839996,125.839996,402.500000,76.660004,395.000000,385.839996,350.000000,741.679993,620.820007,265.000000,404.160004,478.320007,513.340027,492.500000,461.660004,565.000000,554.159973,565.820007,504.160004,458.339996,446.660004,700.820007,897.500000,765.000000,884.179993,852.500000,719.179993,758.320007,805.840027,890.840027,950.000000,704.159973,951.679993,1006.659973,823.340027,1011.659973,1035.000000,1086.660034,1180.839966,1412.500000,1197.500000,1075.000000,1279.180054,1227.500000,1493.339966,1162.500000,1491.680054,1484.180054,1643.339966,1819.180054,1405.819946,2102.500000,1493.319946,1403.339966,1546.660034,1670.000000,1278.319946,1698.339966,2086.659912,2110.840088,1768.339966,1966.680054,1721.660034,1840.000000,2050.840088,2185.000000,2095.840088,1979.180054,2250.840088,1545.819946,1763.319946,2212.500000,2122.500000,1750.839966,1930.000000,2399.179932,1960.839966,2085.840088,2751.679932,2980.000000,2382.500000,2308.320068,2212.500000,2093.340088,2610.000000,2245.000000,2491.659912,2412.500000,2158.320068,2744.179932,2453.340088,3509.159912,2755.840088,2910.000000,2362.500000,3628.320068,2516.659912,2450.000000,2474.159912,3161.679932,3140.000000,3239.179932,3386.659912,2940.000000,3600.000000,2904.159912,3117.500000,3468.340088,3926.659912,4005.840088,3321.659912,2923.320068,3352.500000,3028.340088,3640.000000,3145.000000,3661.679932,3009.159912,3690.000000,4533.319824,3492.500000,3474.159912,3280.000000,4280.000000,3910.000000,4069.159912,3912.500000,3783.340088,4345.839844,4432.500000,4377.500000,4326.680176,3949.159912,3985.000000,3765.840088,4538.339844,3555.840088,3845.840088,4288.339844,3810.000000,4471.680176,3845.000000,4203.339844,3818.320068,4970.819824,4390.000000,4759.160156,4940.839844,4838.319824,4877.500000,4760.000000,5014.160156,5473.339844,5234.160156,4876.660156,4770.819824,5079.160156,4220.839844,5055.819824,4629.180176,4698.339844,5604.160156,5577.500000,5151.660156,4057.500000,6143.339844,5190.000000,4880.819824,5720.000000,6140.819824,5704.160156,6128.339844,5569.180176,5775.839844,5561.680176,6113.339844,4795.000000,6254.180176,6045.819824,6611.660156,5621.660156,6290.839844,6053.339844,5564.160156,5811.660156,
