,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,24500,25000,25500,26000,26500,27000,27500,28000,28500,29000,29500,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,48500,49000,49500,50000,50500,51000,51500,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,71500,72000,72500,73000,73500,74000,74500,75000,75500,76000,76500,77000,77500,78000,78500,79000,79500,80000,80500,81000,81500,82000,82500,83000,83500,84000,84500,85000,85500,86000,86500,87000,87500,88000,88500,89000,89500,90000,90500,91000,91500,92000,92500,93000,93500,94000,94500,95000,95500,96000,96500,97000,97500,98000,98500,99000,99500,
Binary Search Tree,2099.250000,4371.916016,6425.250000,9302.416016,12167.332031,15771.666016,17509.166016,20916.417969,22954.083984,24045.666016,26901.667969,31213.000000,32780.750000,33980.500000,37201.500000,39906.078125,42924.914062,44893.500000,47529.585938,48055.167969,51512.335938,54832.246094,56012.335938,56083.921875,61082.167969,66931.085938,64638.914062,66377.750000,71027.335938,73778.921875,76560.414062,79489.921875,82655.000000,81162.335938,84202.171875,84643.585938,90890.492188,96062.664062,97898.828125,97752.171875,99211.171875,103021.250000,104681.828125,110213.250000,111282.250000,113928.171875,114121.335938,113046.414062,121660.492188,120285.414062,127793.664062,128608.914062,128375.750000,135095.750000,136862.421875,134660.250000,142470.343750,147519.921875,143212.906250,149788.421875,156374.000000,153395.250000,155973.578125,155268.000000,161234.750000,157773.250000,161906.250000,171283.921875,168811.843750,164996.984375,177478.906250,178717.656250,183506.500000,178775.578125,183153.406250,191256.984375,179320.906250,189404.750000,194674.000000,201720.671875,199235.328125,207100.906250,213220.828125,200537.578125,204705.093750,221132.984375,212173.500000,201952.578125,222404.000000,223723.171875,225687.500000,222128.078125,227482.750000,231282.750000,237605.093750,233580.343750,243553.093750,249036.250000,237447.578125,256492.156250,262126.500000,261572.984375,254937.750000,250866.421875,254610.421875,265601.312500,260720.250000,257975.250000,262770.906250,271142.500000,276496.937500,270324.937500,277546.500000,281785.656250,275913.250000,290182.250000,281332.687500,291658.906250,289152.156250,281359.750000,296182.750000,295940.843750,308913.593750,311863.906250,320221.343750,318289.156250,313683.843750,318252.562500,326495.000000,305441.593750,312116.562500,327952.750000,334358.593750,314281.156250,323806.843750,320695.593750,326769.156250,339986.093750,344236.843750,331262.093750,337173.156250,342624.406250,348116.687500,333438.031250,352507.593750,348385.906250,334682.093750,363773.906250,367854.750000,345589.406250,366294.187500,363321.343750,368013.093750,366676.750000,365117.250000,375765.343750,383159.156250,388083.437500,390846.906250,372059.687500,380538.437500,391725.500000,385275.500000,384002.750000,410049.250000,385836.156250,399983.843750,389710.343750,393563.593750,408200.937500,418343.906250,413156.250000,405527.156250,400135.843750,401568.093750,406273.250000,413060.937500,440095.437500,452816.687500,410924.000000,422164.156250,433007.062500,451574.656250,428488.937500,453412.000000,433721.343750,460463.843750,447328.687500,438966.593750,460780.562500,454391.000000,459301.812500,454107.750000,460255.593750,492304.156250,461201.093750,467240.843750,470743.000000,452752.750000,455213.093750,
AVL Tree,72.000000,73.167999,76.166000,81.584000,82.416000,85.166000,88.416000,91.834000,97.750000,102.500000,107.167999,111.416000,115.334000,116.334000,119.332001,124.334000,125.666000,127.582001,129.832001,130.584000,133.667999,134.917999,134.584000,138.666000,139.166000,141.084000,141.250000,145.084000,144.332001,145.167999,145.084000,146.666000,147.917999,147.917999,148.082001,150.000000,151.332001,151.916000,152.750000,154.082001,154.000000,155.582001,157.584000,157.584000,156.500000,155.834000,156.417999,158.416000,158.750000,163.417999,159.500000,160.250000,161.667999,166.166000,161.750000,163.082001,163.500000,165.667999,169.416000,167.500000,168.000000,166.082001,166.417999,167.582001,166.166000,167.834000,174.667999,168.917999,169.416000,169.334000,169.416000,168.334000,170.000000,170.750000,175.000000,170.750000,169.750000,170.582001,172.334000,173.082001,170.582001,173.250000,173.082001,172.416000,173.250000,172.667999,174.584000,172.916000,173.500000,178.666000,175.582001,173.084000,173.334000,174.666000,175.082001,175.416000,175.500000,176.917999,176.416000,177.584000,179.167999,180.084000,178.334000,179.834000,184.916000,179.500000,181.750000,179.832001,178.000000,177.917999,180.082001,182.000000,181.166000,182.750000,182.500000,181.416000,183.584000,184.834000,182.917999,183.332001,182.500000,184.500000,184.082001,180.166000,184.750000,184.582001,186.250000,185.166000,183.666000,184.916000,184.584000,184.334000,182.834000,191.834000,184.750000,185.000000,186.166000,183.417999,185.082001,185.666000,184.666000,192.334000,200.000000,196.000000,206.166000,213.666000,228.332001,225.916000,220.750000,225.750000,247.167999,251.334000,247.582001,248.500000,233.584000,227.416000,221.750000,219.417999,210.084000,209.334000,205.082001,207.750000,204.334000,211.250000,203.250000,198.417999,198.416000,199.250000,197.334000,195.500000,196.500000,197.500000,193.500000,191.082001,193.666000,192.166000,191.916000,192.666000,190.000000,191.917999,189.582001,191.250000,187.834000,190.500000,189.500000,192.500000,191.750000,192.500000,189.834000,204.832001,215.500000,209.500000,209.167999,217.584000,256.582001,225.000000,230.000000,224.000000,223.834000,216.000000,
Red Black Tree,67.084000,69.334000,73.750000,77.084000,79.334000,83.416000,85.834000,89.832001,93.082001,97.084000,102.084000,106.250000,108.584000,111.834000,115.750000,117.084000,121.084000,121.584000,122.000000,123.666000,129.582001,128.334000,131.500000,131.834000,135.332001,132.584000,134.166000,137.166000,136.917999,138.584000,147.582001,140.582001,151.667999,145.084000,146.334000,142.416000,143.416000,141.250000,141.916000,141.832001,142.250000,146.417999,145.084000,144.166000,143.832001,144.000000,146.332001,143.250000,144.332001,146.500000,143.750000,146.166000,147.250000,147.500000,147.166000,147.750000,146.500000,149.166000,150.250000,149.250000,150.584000,150.166000,151.500000,150.834000,149.916000,156.334000,161.750000,151.334000,151.917999,151.250000,151.416000,152.084000,152.334000,152.917999,156.832001,152.582001,154.416000,154.666000,153.416000,155.250000,153.500000,157.750000,158.417999,158.667999,158.000000,161.000000,160.084000,159.916000,164.167999,160.166000,160.250000,160.834000,160.416000,166.916000,161.916000,161.334000,163.416000,161.500000,164.250000,162.334000,161.500000,162.666000,164.750000,165.082001,164.584000,165.167999,163.666000,163.750000,165.000000,166.000000,164.834000,165.334000,165.084000,169.416000,165.500000,163.416000,166.332001,166.500000,167.000000,169.582001,173.917999,175.916000,178.416000,188.250000,195.667999,192.500000,200.916000,222.832001,229.082001,226.416000,224.834000,212.166000,204.500000,202.250000,200.000000,192.834000,193.000000,195.834000,190.500000,214.084000,220.084000,216.917999,216.917999,244.166000,207.917999,223.834000,230.000000,208.916000,216.916000,212.000000,204.500000,203.916000,207.584000,202.666000,199.000000,204.250000,190.667999,187.582001,193.750000,202.000000,216.000000,195.250000,187.750000,190.500000,196.834000,185.584000,192.584000,184.500000,189.250000,185.416000,183.666000,186.166000,181.250000,185.167999,183.916000,182.750000,181.000000,176.667999,181.500000,181.084000,189.082001,179.082001,179.667999,179.166000,183.416000,183.500000,179.750000,175.250000,177.416000,179.666000,179.250000,183.750000,177.416000,176.750000,178.666000,176.750000,178.250000,179.082001,179.250000,177.082001,
Splay Tree,116.166000,127.750000,128.000000,134.334000,139.084000,142.250000,146.416000,150.084000,157.416000,159.917999,162.667999,166.416000,170.167999,169.832001,170.667999,171.832001,176.417999,179.416000,178.750000,180.584000,183.666000,182.167999,183.500000,187.666000,185.917999,184.000000,188.417999,186.334000,194.416000,192.416000,192.250000,191.750000,194.250000,193.750000,192.750000,195.416000,197.082001,198.000000,204.916000,199.750000,203.082001,199.917999,202.916000,203.916000,200.334000,202.334000,204.584000,206.334000,203.666000,210.250000,206.584000,211.667999,209.666000,208.584000,202.834000,213.834000,211.834000,212.000000,209.750000,209.916000,211.917999,215.500000,207.584000,214.917999,212.916000,213.832001,216.000000,215.500000,216.750000,216.417999,217.416000,219.000000,224.000000,218.666000,225.250000,220.167999,217.584000,217.666000,220.166000,222.500000,225.500000,217.500000,222.584000,223.667999,222.667999,228.916000,222.916000,223.250000,228.666000,224.584000,226.250000,221.416000,224.166000,229.000000,224.500000,225.082001,225.416000,231.332001,226.250000,223.416000,230.334000,229.584000,227.750000,234.500000,229.750000,230.084000,229.250000,230.834000,229.250000,228.416000,230.334000,240.500000,228.750000,234.500000,230.334000,228.916000,231.250000,233.166000,235.500000,236.000000,232.000000,233.917999,238.166000,234.500000,232.250000,238.332001,236.000000,235.916000,236.334000,238.666000,230.332001,239.000000,240.500000,236.000000,233.250000,239.416000,236.917999,235.917999,235.750000,236.500000,237.834000,238.250000,239.834000,239.416000,238.334000,236.834000,239.667999,238.332001,238.000000,243.832001,240.584000,242.832001,245.584000,238.082001,235.166000,243.416000,238.000000,243.084000,245.416000,242.000000,242.082001,241.584000,244.334000,242.667999,238.917999,246.000000,241.750000,238.000000,242.416000,243.334000,241.584000,243.084000,240.834000,244.666000,242.417999,244.000000,246.750000,251.500000,247.166000,247.250000,256.334015,246.667999,250.500000,250.500000,243.334000,247.832001,261.334015,246.832001,245.750000,252.666000,249.666000,254.666000,247.000000,245.584000,245.334000,251.000000,250.916000,245.917999,247.332001,250.916000,
