,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,5050,5100,5150,5200,5250,5300,5350,5400,5450,5500,5550,5600,5650,5700,5750,5800,5850,5900,5950,6000,6050,6100,6150,6200,6250,6300,6350,6400,6450,6500,6550,6600,6650,6700,6750,6800,6850,6900,6950,7000,7050,7100,7150,7200,7250,7300,7350,7400,7450,7500,7550,7600,7650,7700,7750,7800,7850,7900,7950,8000,8050,8100,8150,8200,8250,8300,8350,8400,8450,8500,8550,8600,8650,8700,8750,8800,8850,8900,8950,9000,9050,9100,9150,9200,9250,9300,9350,9400,9450,9500,9550,9600,9650,9700,9750,9800,9850,9900,9950,10000,
Binary Search Tree,190.839996,652.500000,1175.000000,1524.160034,1977.500000,2428.320068,2875.000000,3332.500000,3785.840088,4238.339844,4697.500000,5144.160156,5650.839844,6048.319824,6554.160156,6951.660156,7406.660156,7984.160156,8309.160156,8765.000000,9266.660156,9670.000000,10150.839844,10665.000000,11157.500000,11932.500000,12500.000000,13111.660156,13665.839844,14271.660156,14800.839844,15424.179688,16102.500000,16590.000000,17279.160156,17619.160156,17732.500000,18694.160156,20026.660156,19926.660156,21385.000000,20426.660156,20585.000000,21453.320312,21795.000000,22027.500000,22569.160156,23357.500000,23647.500000,24200.839844,24601.660156,25151.660156,25511.660156,26015.000000,26455.839844,27255.000000,27628.339844,28151.660156,28655.839844,29155.839844,29738.339844,30395.000000,30696.679688,30999.179688,31649.160156,32074.179688,32596.679688,33059.179688,33663.339844,34192.500000,34905.820312,35195.820312,35764.160156,36276.679688,36782.500000,37297.500000,37630.839844,38396.660156,38758.339844,39732.500000,40341.679688,40386.660156,41002.500000,41570.839844,42409.179688,43054.160156,43811.679688,45005.839844,44923.339844,44869.160156,45160.839844,45165.839844,45774.160156,46591.679688,46917.500000,47489.160156,48020.000000,48370.000000,48806.660156,49560.839844,51558.339844,51889.160156,52603.339844,52598.320312,52065.820312,52469.160156,53344.179688,53575.839844,54285.000000,54710.839844,55282.500000,55783.339844,56149.160156,57717.500000,57096.660156,57459.160156,58189.179688,58908.339844,59101.660156,59344.179688,60332.500000,60655.839844,61363.339844,62195.820312,62375.820312,62455.839844,63240.000000,63819.179688,64518.339844,65064.160156,65436.679688,65800.843750,66480.000000,66827.500000,67749.156250,67694.156250,68465.843750,67954.156250,68193.343750,69352.500000,69345.000000,70492.500000,71168.343750,71848.320312,74232.500000,75472.500000,75481.656250,74261.656250,75890.843750,74439.156250,75418.320312,75490.843750,77530.843750,76385.000000,76940.000000,78203.320312,78995.000000,80053.343750,79821.679688,79772.500000,81194.179688,81226.656250,82015.843750,83069.179688,82575.000000,83427.500000,83899.156250,84631.656250,85385.843750,85826.679688,85175.820312,85793.343750,86667.500000,86834.156250,87163.320312,87900.000000,87870.843750,91070.000000,92549.179688,91457.500000,90846.656250,92184.156250,92634.156250,92568.320312,93025.843750,93245.820312,93660.843750,94104.156250,94880.820312,95393.343750,96460.843750,97039.156250,97430.843750,97573.343750,96872.500000,98382.500000,99906.656250,99390.843750,100572.500000,101525.820312,
AVL Tree,141.660004,161.679993,175.000000,187.500000,188.339996,205.000000,210.000000,213.339996,212.500000,215.000000,222.500000,217.500000,221.660004,232.500000,231.660004,235.839996,230.000000,233.339996,228.339996,237.500000,245.839996,239.160004,254.179993,251.660004,250.820007,252.500000,258.339996,517.500000,262.500000,266.679993,359.179993,267.500000,252.500000,253.339996,250.820007,240.000000,246.679993,245.839996,245.000000,243.320007,263.320007,249.160004,250.820007,250.000000,257.500000,256.660004,252.500000,258.339996,266.679993,261.660004,277.500000,256.660004,256.660004,261.679993,265.000000,269.160004,270.000000,279.179993,255.820007,269.160004,273.320007,259.160004,265.820007,275.000000,258.339996,255.839996,254.179993,255.820007,290.839996,265.000000,257.500000,258.339996,274.179993,256.660004,264.160004,250.000000,250.000000,264.160004,280.000000,255.839996,259.179993,242.500000,262.500000,266.660004,284.160004,281.660004,402.500000,400.820007,308.320007,290.839996,293.320007,281.660004,265.820007,264.179993,270.839996,299.179993,288.339996,274.160004,275.839996,279.160004,282.500000,281.660004,265.839996,275.000000,281.660004,285.000000,276.660004,269.160004,266.660004,258.320007,273.339996,275.820007,270.000000,272.500000,268.320007,295.839996,261.660004,267.500000,282.500000,284.160004,277.500000,279.160004,261.660004,270.000000,275.000000,272.500000,348.320007,277.500000,267.500000,268.320007,275.839996,270.839996,270.000000,273.339996,274.160004,275.839996,279.160004,270.820007,270.839996,270.000000,265.839996,272.500000,270.000000,262.500000,275.839996,279.160004,295.000000,269.179993,275.000000,281.679993,268.339996,265.000000,260.820007,260.839996,272.500000,272.500000,289.160004,268.339996,259.160004,263.339996,270.820007,258.339996,257.500000,250.000000,267.500000,274.160004,272.500000,300.839996,277.500000,276.660004,283.339996,285.000000,283.339996,284.160004,278.339996,284.160004,290.820007,300.839996,299.160004,285.000000,291.660004,294.160004,293.320007,291.679993,278.339996,283.320007,290.000000,291.660004,289.160004,287.500000,288.320007,288.339996,301.660004,305.839996,290.000000,285.000000,282.500000,310.820007,291.660004,292.500000,
Red Black Tree,139.160004,167.500000,185.820007,204.179993,221.679993,227.500000,236.660004,245.000000,247.500000,228.339996,260.000000,245.000000,250.000000,249.160004,245.839996,255.000000,256.660004,260.000000,256.660004,257.500000,279.160004,270.820007,276.679993,270.000000,274.179993,279.179993,272.500000,268.339996,276.660004,274.160004,287.500000,284.160004,283.339996,285.839996,285.000000,290.839996,283.320007,281.660004,289.179993,285.820007,295.000000,298.320007,300.000000,300.000000,300.000000,301.660004,300.839996,296.660004,302.500000,300.000000,301.660004,319.179993,300.839996,303.320007,296.660004,297.500000,308.339996,298.339996,305.000000,300.820007,301.679993,313.339996,312.500000,315.000000,309.179993,310.000000,314.160004,309.160004,304.160004,312.500000,312.500000,328.339996,313.320007,306.660004,310.820007,308.339996,313.339996,310.000000,314.179993,314.179993,314.160004,312.500000,328.320007,326.660004,330.820007,328.339996,330.000000,325.000000,330.000000,339.179993,330.000000,329.160004,331.679993,324.160004,329.179993,321.679993,326.660004,332.500000,325.000000,347.500000,330.839996,341.679993,335.000000,333.320007,330.839996,325.839996,326.679993,332.500000,326.679993,377.500000,330.000000,325.839996,333.320007,332.500000,325.839996,331.660004,330.000000,330.839996,328.339996,330.839996,343.320007,327.500000,324.179993,350.839996,336.660004,338.320007,337.500000,340.000000,333.339996,339.160004,348.339996,340.000000,338.339996,340.820007,335.000000,339.160004,332.500000,340.000000,344.160004,340.000000,359.160004,337.500000,348.320007,343.339996,343.339996,340.839996,335.839996,336.660004,342.500000,336.679993,347.500000,338.339996,338.339996,343.320007,342.500000,333.339996,340.839996,339.160004,342.500000,339.160004,352.500000,342.500000,336.660004,333.320007,351.660004,354.160004,356.660004,358.339996,355.839996,352.500000,359.160004,374.160004,356.679993,358.339996,368.320007,355.839996,367.500000,365.820007,358.339996,358.339996,357.500000,383.339996,361.660004,369.160004,360.820007,356.679993,358.339996,349.160004,354.160004,355.000000,349.160004,370.000000,355.000000,360.000000,364.160004,359.160004,356.660004,361.679993,363.339996,368.339996,
Splay Tree,40.000000,25.000000,23.340000,22.500000,22.500000,22.500000,23.320000,22.500000,22.500000,22.500000,87.500000,22.500000,22.500000,22.500000,22.500000,22.500000,22.500000,22.500000,22.500000,22.500000,41.660000,22.500000,25.000000,25.000000,26.660000,23.340000,23.340000,23.320000,23.340000,23.340000,43.340000,23.340000,22.500000,23.320000,23.340000,23.340000,23.340000,23.340000,23.340000,23.320000,40.000000,23.340000,22.500000,23.340000,23.320000,25.840000,25.000000,23.340000,22.500000,22.500000,22.500000,35.000000,22.500000,22.500000,25.000000,22.500000,25.000000,25.820000,22.500000,22.500000,21.660000,32.500000,21.660000,22.500000,21.680000,22.500000,21.660000,21.680000,21.680000,21.660000,21.660000,40.000000,21.680000,22.500000,22.500000,21.660000,22.500000,21.680000,21.680000,22.500000,22.500000,32.500000,21.660000,22.500000,21.680000,22.500000,22.500000,21.680000,21.680000,22.500000,22.500000,22.500000,33.320000,21.680000,21.660000,21.660000,21.660000,22.500000,21.660000,21.660000,21.660000,21.680000,40.000000,21.680000,21.680000,21.660000,21.660000,22.500000,21.680000,22.500000,21.660000,21.660000,40.000000,22.500000,21.660000,22.500000,21.660000,22.500000,22.500000,22.500000,22.500000,21.680000,23.340000,24.160000,22.500000,23.340000,22.500000,23.340000,22.500000,22.500000,40.840000,22.500000,21.660000,21.660000,21.660000,21.680000,21.680000,22.500000,21.660000,21.680000,41.660000,21.660000,21.660000,22.500000,21.660000,21.660000,22.500000,21.660000,21.660000,22.500000,33.340000,21.680000,22.500000,21.660000,21.660000,22.500000,22.500000,22.500000,21.660000,21.680000,33.340000,21.660000,22.500000,22.500000,22.500000,22.500000,21.680000,21.680000,21.680000,22.500000,21.660000,39.160000,21.660000,21.660000,22.500000,21.660000,21.660000,21.660000,22.500000,21.680000,21.680000,40.840000,21.660000,21.680000,21.680000,22.500000,22.500000,22.500000,21.680000,22.500000,21.660000,42.500000,21.680000,21.660000,21.660000,22.500000,22.500000,21.680000,21.680000,21.660000,
