,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,
Binary Search Tree,100.000000,150.000000,116.599998,108.199997,125.000000,125.000000,183.199997,141.600006,133.199997,166.800003,141.800003,125.000000,141.600006,125.000000,158.199997,150.000000,150.000000,158.399994,158.399994,150.000000,
AVL Tree,491.600006,325.000000,391.600006,300.000000,433.399994,325.000000,433.200012,416.600006,433.399994,400.000000,391.799988,366.799988,400.000000,416.600006,441.600006,483.399994,375.000000,458.200012,433.399994,416.600006,
Red Black Tree,208.399994,150.000000,200.000000,116.599998,166.600006,183.199997,208.399994,258.200012,241.600006,150.000000,241.800003,225.000000,208.199997,266.600006,241.600006,266.600006,308.399994,250.000000,216.600006,283.200012,
Splay Tree,158.199997,175.000000,183.399994,216.800003,250.000000,275.000000,308.399994,191.600006,233.399994,225.000000,250.000000,191.600006,225.000000,208.399994,166.600006,266.600006,258.399994,166.600006,250.000000,250.000000,
