,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,
Binary Search Tree,133.399994,150.000000,166.800003,166.800003,166.800003,158.399994,150.000000,175.000000,183.399994,158.399994,166.600006,183.199997,166.600006,208.399994,166.800003,183.199997,175.000000,200.000000,183.399994,166.600006,
AVL Tree,158.199997,150.000000,108.400002,158.399994,175.000000,175.000000,158.199997,125.000000,216.600006,166.800003,225.000000,158.399994,208.199997,133.199997,150.000000,166.800003,175.000000,241.600006,166.800003,183.399994,
Red Black Tree,200.000000,158.399994,150.000000,166.600006,175.000000,183.199997,150.000000,166.800003,158.399994,175.000000,216.600006,175.000000,175.000000,150.000000,150.000000,166.600006,216.600006,191.600006,166.800003,175.000000,
Splay Tree,200.000000,241.600006,300.000000,200.000000,258.200012,258.399994,316.799988,208.399994,233.199997,291.600006,208.399994,200.000000,216.600006,241.600006,225.000000,283.399994,266.799988,275.000000,300.000000,233.399994,
