,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,
Binary Search Tree,150.000000,116.599998,125.000000,133.399994,166.600006,141.600006,175.000000,166.600006,158.399994,175.000000,166.600006,175.000000,150.000000,183.399994,208.199997,166.600006,175.000000,200.000000,208.399994,158.399994,
AVL Tree,216.600006,250.000000,375.000000,350.000000,333.200012,375.000000,433.399994,375.000000,433.399994,391.799988,375.000000,416.799988,408.399994,416.799988,400.000000,466.600006,525.000000,525.000000,416.799988,391.799988,
Red Black Tree,166.800003,191.600006,266.799988,233.199997,250.000000,266.799988,300.000000,266.799988,300.000000,275.000000,325.000000,275.000000,350.000000,341.600006,291.799988,366.799988,375.000000,408.399994,400.000000,383.399994,
Splay Tree,183.199997,258.200012,266.799988,266.799988,300.000000,275.000000,375.000000,325.000000,291.600006,366.600006,400.000000,400.000000,391.600006,366.600006,450.000000,375.000000,375.000000,416.600006,408.399994,475.000000,
